Date; Latitude (°); Longitude (°); Altitude (from ground, in m); Heading (°); Speed (km/h); Valid crc
mer. 11. sept. 14:30:02 2013; 43.6311; 1.37726; 154.541; 169.18; 0.101823; 1
mer. 11. sept. 14:30:03 2013; 43.6311; 1.37727; 154.52; 168.74; 0.148432; 1
mer. 11. sept. 14:30:03 2013; 43.6311; 1.37727; 154.48; 168.46; 0.550694; 1
mer. 11. sept. 14:30:04 2013; 43.6311; 1.37727; 154.486; 168.9; 0.789542; 1
mer. 11. sept. 14:30:04 2013; 43.6311; 1.37727; 154.565; 168.02; 1.18855; 1
mer. 11. sept. 14:30:05 2013; 43.6311; 1.37727; 154.65; 168.9; 1.30894; 1
mer. 11. sept. 14:30:05 2013; 43.6311; 1.37727; 154.802; 168.9; 1.95762; 1
mer. 11. sept. 14:30:06 2013; 43.6311; 1.37726; 155.236; 169.29; 4.19288; 1
mer. 11. sept. 14:30:07 2013; 43.6311; 1.37726; 155.433; 172.37; 3.236; 1
mer. 11. sept. 14:30:07 2013; 43.6311; 1.37725; 155.568; 170.61; 2.08738; 1
mer. 11. sept. 14:30:08 2013; 43.6311; 1.37725; 155.845; 170.17; 1.95762; 1
mer. 11. sept. 14:30:08 2013; 43.6311; 1.37725; 156.26; 169.07; 0.629743; 1
mer. 11. sept. 14:30:08 2013; 43.6311; 1.37726; 156.515; 171.54; 0.3894; 1
mer. 11. sept. 14:30:09 2013; 43.6311; 1.37726; 156.696; 168.68; 0.410463; 1
mer. 11. sept. 14:30:09 2013; 43.6311; 1.37725; 157.207; 169.51; 1.78736; 1
mer. 11. sept. 14:30:10 2013; 43.6311; 1.37725; 157.444; 169.62; 2.2288; 1
mer. 11. sept. 14:30:10 2013; 43.6311; 1.37725; 157.66; 169.34; 2.55676; 1
mer. 11. sept. 14:30:11 2013; 43.6311; 1.37725; 157.855; 170.72; 3.24759; 1
mer. 11. sept. 14:30:11 2013; 43.6311; 1.37724; 158.115; 170.72; 2.78599; 1
mer. 11. sept. 14:30:12 2013; 43.6311; 1.37724; 158.281; 168.85; 2.16779; 1
mer. 11. sept. 14:30:12 2013; 43.6311; 1.37724; 158.452; 170.17; 1.77133; 1
mer. 11. sept. 14:30:13 2013; 43.6311; 1.37724; 158.735; 170; 1.09726; 1
mer. 11. sept. 14:30:13 2013; 43.6311; 1.37724; 158.875; 170.66; 1.12468; 1
mer. 11. sept. 14:30:14 2013; 43.6311; 1.37724; 159.016; 169.78; 0.321994; 1
mer. 11. sept. 14:30:15 2013; 43.6311; 1.37724; 159.183; 170.06; 1.35515; 1
mer. 11. sept. 14:30:15 2013; 43.6311; 1.37724; 159.253; 170.22; 1.99695; 1
mer. 11. sept. 14:30:16 2013; 43.6311; 1.37724; 159.3; 170.17; 1.95762; 1
mer. 11. sept. 14:30:16 2013; 43.6311; 1.37724; 159.367; 169.45; 1.46896; 1
mer. 11. sept. 14:30:16 2013; 43.6311; 1.37724; 159.39; 169.84; 2.21802; 1
mer. 11. sept. 14:30:17 2013; 43.6311; 1.37724; 159.453; 169.23; 1.33928; 1
mer. 11. sept. 14:30:17 2013; 43.6311; 1.37724; 159.542; 170.39; 0.94221; 1
mer. 11. sept. 14:30:18 2013; 43.6311; 1.37724; 159.616; 170.28; 0.814587; 1
mer. 11. sept. 14:30:18 2013; 43.6311; 1.37723; 159.718; 169.62; 0.663807; 1
mer. 11. sept. 14:30:19 2013; 43.6311; 1.37723; 159.832; 169.18; 0.535178; 1
mer. 11. sept. 14:30:19 2013; 43.6311; 1.37723; 159.799; 169.73; 1.14806; 1
mer. 11. sept. 14:30:20 2013; 43.6311; 1.37724; 159.732; 170.22; 1.31831; 1
mer. 11. sept. 14:30:20 2013; 43.6311; 1.37724; 159.618; 170.72; 2.17674; 1
mer. 11. sept. 14:30:21 2013; 43.6311; 1.37724; 159.582; 169.45; 3.16145; 1
