Date; Latitude (°); Longitude (°); Altitude (from ground, in m); Heading (°); Speed (km/h); Valid crc
lun. 12. août 14:16:38 2013; 43.6309; 1.37744; 140.644; 162.72; 0; 1
lun. 12. août 14:16:38 2013; 43.6309; 1.37744; 140.644; 161.32; 0; 1
lun. 12. août 14:16:39 2013; 43.6309; 1.37744; 140.644; 162.46; 0; 1
lun. 12. août 14:16:39 2013; 43.6309; 1.37744; 140.644; 162.09; 0; 1
lun. 12. août 14:16:40 2013; 43.6309; 1.37744; 140.644; 161.32; 0; 1
lun. 12. août 14:16:40 2013; 43.6309; 1.37744; 140.644; 161.06; 0; 1
lun. 12. août 14:16:41 2013; 43.6309; 1.37744; 140.644; 160.65; 0; 1
lun. 12. août 14:16:41 2013; 43.6309; 1.37744; 140.644; 162.51; 0; 1
lun. 12. août 14:16:42 2013; 43.6309; 1.37744; 140.644; 161.78; 0; 1
lun. 12. août 14:16:42 2013; 43.6309; 1.37744; 140.644; 160.49; 0; 1
lun. 12. août 14:16:42 2013; 43.6309; 1.37744; 140.644; 160.49; 0; 1
lun. 12. août 14:16:43 2013; 43.6309; 1.37744; 140.644; 162.09; 0; 1
lun. 12. août 14:16:43 2013; 43.6309; 1.37744; 140.644; 161.27; 0; 0
lun. 12. août 14:16:44 2013; 43.6309; 1.37744; 140.644; 161.11; 0; 1
lun. 12. août 14:16:44 2013; 43.6309; 1.37744; 140.644; 160.49; 0; 1
lun. 12. août 14:16:45 2013; 43.6309; 1.37744; 140.644; 161.16; 0; 1
lun. 12. août 14:16:45 2013; 43.6309; 1.37744; 140.644; 161.27; 0; 1
lun. 12. août 14:16:46 2013; 43.6309; 1.37744; 140.644; 159.72; 0; 1
lun. 12. août 14:16:46 2013; 43.6309; 1.37744; 140.644; 160.13; 0; 1
lun. 12. août 14:16:47 2013; 43.6309; 1.37744; 140.644; 160.7; 0; 1
lun. 12. août 14:16:47 2013; 43.6309; 1.37744; 140.644; 159.97; 0; 1
lun. 12. août 14:16:48 2013; 43.6309; 1.37744; 140.644; 162.4; 0; 1
lun. 12. août 14:16:48 2013; 43.6309; 1.37744; 140.644; 160.28; 0; 1
lun. 12. août 14:16:48 2013; 43.6309; 1.37744; 140.644; 160.85; 0; 1
lun. 12. août 14:16:49 2013; 43.6309; 1.37744; 140.644; 160.59; 0; 1
lun. 12. août 14:16:49 2013; 43.6309; 1.37744; 140.644; 161.68; 0; 1
lun. 12. août 14:16:50 2013; 43.6309; 1.37744; 140.644; 161.68; 0; 1
lun. 12. août 14:16:51 2013; 43.6309; 1.37744; 140.644; 160.34; 0; 1
lun. 12. août 14:16:51 2013; 43.6309; 1.37744; 140.644; 160.7; 0; 1
lun. 12. août 14:16:52 2013; 43.6309; 1.37744; 140.644; 160.18; 0; 1
lun. 12. août 14:16:52 2013; 43.6309; 1.37744; 140.644; 160.18; 0; 1
lun. 12. août 14:16:52 2013; 43.6309; 1.37744; 140.644; 160.28; 0; 1
lun. 12. août 14:16:53 2013; 43.6309; 1.37744; 140.644; 159.92; 0; 1
lun. 12. août 14:16:53 2013; 43.6309; 1.37744; 140.644; 160.44; 0; 1
lun. 12. août 14:16:54 2013; 43.6309; 1.37744; 140.644; 160.54; 0; 1
lun. 12. août 14:16:54 2013; 43.6309; 1.37744; 140.644; 158.9; 0; 1
lun. 12. août 14:16:55 2013; 43.6309; 1.37744; 140.644; 160.08; 0; 1
lun. 12. août 14:16:55 2013; 43.6309; 1.37744; 140.644; 159.66; 0; 1
lun. 12. août 14:16:55 2013; 43.6309; 1.37744; 140.644; 158.48; 0; 1
lun. 12. août 14:16:56 2013; 43.6309; 1.37744; 140.644; 160.34; 0; 1
lun. 12. août 14:16:56 2013; 43.6309; 1.37744; 140.644; 160.23; 0; 1
lun. 12. août 14:16:57 2013; 43.6309; 1.37744; 140.644; 159.77; 0; 1
lun. 12. août 14:16:58 2013; 43.6309; 1.37744; 140.644; 161.22; 0; 1
lun. 12. août 14:16:58 2013; 43.6309; 1.37744; 140.644; 159.61; 0; 1
lun. 12. août 14:16:58 2013; 43.6309; 1.37744; 140.644; 161.01; 0; 1
lun. 12. août 14:16:59 2013; 43.6309; 1.37744; 140.644; 160.59; 0; 1
lun. 12. août 14:16:59 2013; 43.6309; 1.37744; 140.644; 161.06; 0; 1
lun. 12. août 14:17:00 2013; 43.6309; 1.37744; 140.644; 158.95; 0; 1
lun. 12. août 14:17:00 2013; 43.6309; 1.37744; 140.644; 160.96; 0; 1
lun. 12. août 14:17:01 2013; 43.6309; 1.37744; 140.644; 161.27; 0; 1
lun. 12. août 14:17:01 2013; 43.6309; 1.37744; 140.644; 159.61; 0; 1
lun. 12. août 14:17:02 2013; 43.6309; 1.37744; 140.644; 160.49; 0; 1
lun. 12. août 14:17:02 2013; 43.6309; 1.37744; 140.644; 160.28; 0; 1
lun. 12. août 14:17:02 2013; 43.6309; 1.37744; 140.644; 159.41; 0; 1
