Date; Latitude (°); Longitude (°); Altitude (from ground, in m); Heading (°); Speed (km/h); Valid crc
lun. 12. août 16:46:43 2013; 43.6309; 1.37744; 140.644; 222.1; 0; 1
lun. 12. août 16:46:44 2013; 43.6309; 1.37744; 140.644; 222.28; 0; 1
lun. 12. août 16:46:44 2013; 43.6309; 1.37744; 140.644; 222.28; 0; 1
lun. 12. août 16:46:45 2013; 43.6309; 1.37744; 140.644; 221.74; 0; 1
lun. 12. août 16:46:45 2013; 43.6309; 1.37744; 140.644; 221.55; 0; 1
lun. 12. août 16:46:46 2013; 43.6309; 1.37744; 140.644; 214.36; 0; 1
lun. 12. août 16:46:46 2013; 43.6309; 1.37744; 140.644; 221.21; 0; 1
lun. 12. août 16:46:47 2013; 43.6309; 1.37744; 140.644; 222.97; 0; 1
lun. 12. août 16:46:47 2013; 43.6309; 1.37744; 140.644; 221.89; 0; 1
lun. 12. août 16:46:47 2013; 43.6309; 1.37744; 140.644; 221.58; 0; 1
lun. 12. août 16:46:48 2013; 43.6309; 1.37744; 140.644; 222.37; 0; 1
lun. 12. août 16:46:48 2013; 43.6309; 1.37744; 140.644; 221.51; 0; 1
lun. 12. août 16:46:49 2013; 43.6309; 1.37744; 140.644; 221.89; 0; 1
lun. 12. août 16:46:49 2013; 43.6309; 1.37744; 140.644; 222.28; 0; 1
lun. 12. août 16:46:50 2013; 43.6309; 1.37744; 140.644; 222.46; 0; 1
lun. 12. août 16:46:50 2013; 43.6309; 1.37744; 140.644; 221.17; 0; 1
lun. 12. août 16:46:51 2013; 43.6309; 1.37744; 140.644; 222.91; 0; 1
lun. 12. août 16:46:51 2013; 43.6309; 1.37744; 140.644; 221.55; 0; 1
lun. 12. août 16:46:51 2013; 43.6309; 1.37744; 140.644; 223.12; 0; 1
lun. 12. août 16:46:52 2013; 43.6309; 1.37744; 140.644; 221.55; 0; 1
lun. 12. août 16:46:52 2013; 43.6309; 1.37744; 140.644; 218.6; 0; 1
lun. 12. août 16:46:53 2013; 43.6309; 1.37744; 140.644; 230.93; 0; 1
lun. 12. août 16:46:54 2013; 43.6309; 1.37744; 140.644; 259.33; 0; 1
lun. 12. août 16:46:54 2013; 43.6309; 1.37744; 140.644; 258.44; 0; 1
lun. 12. août 16:46:54 2013; 43.6309; 1.37744; 140.644; 258.34; 0; 1
lun. 12. août 16:46:55 2013; 43.6309; 1.37744; 140.644; 258.44; 0; 1
lun. 12. août 16:46:55 2013; 43.6309; 1.37744; 140.644; 257.57; 0; 1
lun. 12. août 16:46:56 2013; 43.6309; 1.37744; 140.644; 256.1; 0; 1
lun. 12. août 16:46:56 2013; 43.6309; 1.37744; 140.644; 255.11; 0; 1
lun. 12. août 16:46:57 2013; 43.6309; 1.37744; 140.644; 255.61; 0; 1
lun. 12. août 16:46:57 2013; 43.6309; 1.37744; 140.644; 255.61; 0; 1
lun. 12. août 16:46:58 2013; 43.6309; 1.37744; 140.644; 254.43; 0; 1
lun. 12. août 16:46:59 2013; 43.6309; 1.37744; 140.644; 252.9; 0; 1
lun. 12. août 16:46:59 2013; 43.6309; 1.37744; 140.644; 257.39; 0; 1
